Name,Location,AvgPrice,Currency,Cuisine,MICHELINStars
Aqua,Wolfsburg,225,EUR,"Creative, Modern Cuisine",3
The Table Kevin Fehling,Hamburg,230,EUR,Creative,3
Restaurant Überfahrt Christian Jürgens,Rottach-Egern,319,EUR,Creative,3
Victor's Fine Dining by christian bau,Perl,295,EUR,Creative,3
Rutz,Berlin,245,EUR,"Modern Cuisine, Creative",3
Restaurant Bareiss,Baiersbronn,335,EUR,Classic French,3
temporaire - Schwarzwaldstube,Baiersbronn,265,EUR,"Classic French, Creative",3
schanz. restaurant.,Piesport,178,EUR,"Modern French, Creative",3
Waldhotel Sonnora,Dreis,249,EUR,Classic French,3
L'Enclume,Cartmel,175,GBP,Creative,3
Fat Duck,Bray,375,GBP,Creative,3
Waterside Inn,Bray,188,GBP,Classic French,3
Restaurant Gordon Ramsay,London,220,GBP,French,3
Hélène Darroze at The Connaught,London,185,GBP,Modern Cuisine,3
CORE by Clare Smyth,London,195,GBP,Modern British,3
Sketch (The Lecture Room & Library),London,250,GBP,Modern French,3
Alain Ducasse at The Dorchester,London,195,GBP,French,3
Amador,Vienna,265,EUR,"Creative, Contemporary",3
Xin Rong Ji (Xinyuan South Road),Beijing,"2,000",CNY,Taizhou,3
King's Joy,Beijing,"1,399",CNY,Vegetarian,3
Jade Dragon,Macau,"2,000",MOP,Cantonese,3
Robuchon au Dôme,Macau,"3,500",MOP,French Contemporary,3
The Eight,Macau,"3,000",MOP,Cantonese,3
8 1/2 Otto e Mezzo - Bombana,Hong Kong,"2,080",HKD,Italian,3
T'ang Court,Hong Kong,"1,830",HKD,Cantonese,3
Sushi Shikon,Hong Kong,"3,500",HKD,Sushi,3
Caprice,Hong Kong,"2,600",HKD,French Contemporary,3
Forum,Hong Kong,"2,000",HKD,Cantonese,3
Lung King Heen,Hong Kong,"2,980",HKD,Cantonese,3
L'Atelier de Joël Robuchon,Hong Kong,"2,600",HKD,French Contemporary,3
Azurmendi,Larrabetzu,250,EUR,Creative,3
Martín Berasategui,Lasarte - Oria,290,EUR,Creative,3
Aponiente,El Puerto de Santa María,215,EUR,"Creative, Innovative",3
El Celler de Can Roca,Girona,350,EUR,Creative,3
Quique Dacosta,Dénia,210,EUR,Creative,3
Cenador de Amós,Villaverde de Pontones,235,EUR,Modern Cuisine,3
DiverXO,Madrid,365,EUR,Creative,3
Arzak,Donostia / San Sebastián,260,EUR,"Creative, Traditional Cuisine",3
Akelaŕe,Donostia / San Sebastián,240,EUR,"Creative, Traditional Cuisine",3
Lasarte,Barcelona,250,EUR,Creative,3
ABaC,Barcelona,250,EUR,Creative,3
L'OSIER,Tokyo,"44,000",JPY,French,3
Sazenka,Tokyo,"73,000",JPY,Chinese,3
Kagurazaka Ishikawa,Tokyo,"43,000",JPY,Japanese,3
Kanda,Tokyo,"43,000",JPY,Japanese,3
L'Effervescence,Tokyo,"34,000",JPY,French,3
Quintessence,Tokyo,"35,000",JPY,French,3
Azabu Kadowaki,Tokyo,"70,000",JPY,Japanese,3
Joël Robuchon,Tokyo,"54,000",JPY,French,3
RyuGin,Tokyo,"49,000",JPY,Japanese,3
Sushi Yoshitake,Tokyo,"38,000",JPY,Sushi,3
Kohaku,Tokyo,"43,000",JPY,Japanese,3
Makimura,Tokyo,"27,000",JPY,Japanese,3
Gaon,SEOUL,"260,000",KRW,Korean,3
La Yeon,SEOUL,"280,000",KRW,Korean,3
Dal Pescatore,Runate,300,EUR,"Modern Cuisine, Italian",3
Le Calandre,Rubano,225,EUR,Creative,3
Reale,Castel di Sangro,220,EUR,"Creative, Contemporary",3
Osteria Francescana,Modena,320,EUR,Creative,3
Da Vittorio,Brusaporto,380,EUR,"Modern Cuisine, Contemporary",3
St. Hubertus,San Cassiano,310,EUR,"Creative, Alpine",3
Enrico Bartolini al Mudec,Milan,300,EUR,"Creative, Innovative",3
Enoteca Pinchiorri,Florence,345,EUR,Modern Cuisine,3
Piazza Duomo,Alba,300,EUR,"Creative, Modern Cuisine",3
Uliassi,Senigallia,220,EUR,"Creative, Seafood",3
La Pergola,Rome,290,EUR,"Modern Cuisine, Contemporary",3
Taian Table,Shanghai,"2,188",CNY,Innovative,3
Ultraviolet by Paul Pairet,Shanghai,"8,888",CNY,Innovative,3
Kashiwaya,Osaka,"43,000",JPY,Japanese,3
HAJIME,Osaka,"54,000",JPY,Innovative,3
Taian,Osaka,"20,000",JPY,Japanese,3
Isshisoden Nakamura,Kyoto,"38,000",JPY,Japanese,3
Kikunoi Honten,Kyoto,"64,000",JPY,Japanese,3
Gion Sasaki,Kyoto,"37,000",JPY,Japanese,3
Mizai,Kyoto,"50,000",JPY,Japanese,3
Hyotei,Kyoto,"64,000",JPY,Japanese,3
Maeda,Kyoto,"49,000",JPY,Japanese,3
The French Laundry,Yountville,450,USD,"Contemporary, French",3
SingleThread,Healdsburg,375,USD,"Contemporary, Californian",3
Manresa,Los Gatos,325,USD,"Contemporary, Californian",3
Atelier Crenn,San Francisco,298,USD,"Contemporary, French",3
Benu,San Francisco,350,USD,"Asian, Contemporary",3
Quince,San Francisco,360,USD,"Contemporary, Californian",3
Frantzén,Stockholm,"3,800",SEK,Modern Cuisine,3
Maaemo,Oslo,"3,500",NOK,"Modern Cuisine, Creative",3
Geranium,Copenhagen,"2,800",DKK,"Creative, Contemporary",3
noma,Copenhagen,"2,800",DKK,Creative,3
Odette,Singapore,378,SGD,French Contemporary,3
Les Amis,Singapore,510,SGD,French,3
Zén,Singapore,450,SGD,European Contemporary,3
Le Palais,Taipei,"5,000",TWD,Cantonese,3
Eleven Madison Park,New York,285,USD,"Contemporary, Innovative",3
Per Se,New York,355,USD,"Contemporary, French",3
Masa,New York,595,USD,"Japanese, Sushi",3
Le Bernardin,New York,228,USD,Seafood,3
Chef's Table at Brooklyn Fare,New York,395,USD,Contemporary,3
Alinea,Chicago,365,USD,"Contemporary, Creative",3
The Inn at Little Washington,Washington,238,USD,"American, French",3
Inter Scaldes,Kruiningen,380,EUR,Modern Cuisine,3
De Librije,Zwolle,232,EUR,Modern Cuisine,3
Restaurant de l'Hôtel de Ville,Crissier,390,CHF,Classic French,3
Cheval Blanc by Peter Knogl,Basel,270,CHF,Classic French,3
Schloss Schauenstein,Fürstenau,330,CHF,"Creative, Country cooking",3
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Monaco,380,EUR,"Mediterranean Cuisine, Modern Cuisine",3
Assiette Champenoise,Reims,335,EUR,Creative,3
Les Prés d'Eugénie - Michel Guérard,Eugénie-les-Bains,295,EUR,Classic Cuisine,3
Georges Blanc,Vonnas,320,EUR,Classic Cuisine,3
La Vague d'Or - Cheval Blanc St-Tropez,Saint-Tropez,375,EUR,"Creative, Modern Cuisine",3
Mirazur,Menton,380,EUR,Creative,3
René et Maxime Meilleur,Saint-Martin-de-Belleville,389,EUR,"Creative, Regional Cuisine",3
Alléno Paris au Pavillon Ledoyen,Paris,395,EUR,Creative,3
Le 1947 - Cheval Blanc,Courchevel,395,EUR,"Creative, Modern Cuisine",3
AM par Alexandre Mazzia,Marseille,385,EUR,Creative,3
Pic,Valence,350,EUR,Creative,3
Troisgros - Le Bois sans Feuilles,Ouches,330,EUR,Creative,3
Pierre Gagnaire,Paris,400,EUR,Creative,3
Le Pré Catelan,Paris,330,EUR,"Creative, Modern Cuisine",3
L'Ambroisie,Paris,330,EUR,Classic Cuisine,3
Épicure,Paris,380,EUR,Modern Cuisine,3
Christophe Bacquié,Le Castellet,295,EUR,Modern Cuisine,3
Maison Lameloise,Chagny,260,EUR,Modern Cuisine,3
Flocons de Sel,Megève,280,EUR,Creative,3
Le Cinq,Paris,380,EUR,Modern Cuisine,3
Guy Savoy,Paris,530,EUR,Creative,3
Auberge du Vieux Puits,Fontjoncouse,225,EUR,Creative,3
Arpège,Paris,460,EUR,Creative,3
Kei,Paris,340,EUR,Modern Cuisine,3
L'Oustau de Baumanière,Les Baux-de-Provence,240,EUR,Modern Cuisine,3
Christopher Coutanceau,La Rochelle,265,EUR,Seafood,3
Le Petit Nice,Marseille,430,EUR,Seafood,3
Régis et Jacques Marcon,Saint-Bonnet-le-Froid,240,EUR,Creative,3
Le Clos des Sens,Annecy,238,EUR,Creative,3
Zilte,Antwerpen,330,EUR,Creative,3
Hof van Cleve,Kruishoutem,530,EUR,Creative,3
Ösch Noir,Donaueschingen,195,EUR,"Modern Cuisine, Classic Cuisine",2
ES:SENZ,Grassau,205,EUR,"Creative, Modern Cuisine",2
Luce d'Oro,Krün,229,EUR,"Modern Cuisine, Creative",2
Tohru in der Schreiberei,Munich,245,EUR,"Modern Cuisine, Japanese Contemporary",2
OPUS V,Mannheim,185,EUR,"Modern Cuisine, Creative",2
Lorenz Adlon Esszimmer,Berlin,250,EUR,Creative,2
Falco,Leipzig,262,EUR,Creative,2
Söl'ring Hof,Rantum,284,EUR,"Creative, Country cooking",2
Obendorfers Eisvogel,Neunburg vorm Wald,211,EUR,"Creative, Classic Cuisine",2
etz,Nuremberg,210,EUR,"Creative, Regional Cuisine",2
Steinheuers Restaurant Zur Alten Post,Bad Neuenahr-Ahrweiler,195,EUR,"Classic French, Classic Cuisine",2
Restaurant Heinz Winkler,Aschau im Chiemgau,210,EUR,Classic French,2
Haerlin,Hamburg,250,EUR,"Creative French, Classic Cuisine",2
Vendôme,Bergisch Gladbach,285,EUR,"Creative, Classic French",2
Speisemeisterei,Stuttgart,189,EUR,"Modern Cuisine, International",2
Tim Raue,Berlin,248,EUR,"Asian, Creative",2
CODA Dessert Dining,Berlin,165,EUR,"Creative, Innovative",2
Rosin,Dorsten,159,EUR,"Creative, Classic Cuisine",2
Jante,Hanover,160,EUR,"Creative, Modern Cuisine",2
AUGUST,Augsburg,210,EUR,Creative,2
Le Pavillon,Bad Peterstal,189,EUR,Classic French,2
Le Moissonnier,Cologne,165,EUR,"Creative French, Classic Cuisine",2
LOUIS restaurant,Saarlouis,176,EUR,"Creative, French Contemporary",2
100/200 Kitchen,Hamburg,144,EUR,"Creative, Modern Cuisine",2
bianc,Hamburg,190,EUR,"Mediterranean Cuisine, Creative",2
Ox & Klee,Cologne,230,EUR,"Modern Cuisine, Creative",2
